FPM NO,ALL CTS,ALL DT,ALL AVG DT,ALL STD DT,GTI GOOD CTS,GTI DT,GTI DT STD,GTI GOOD CTS DT,GTI GOOD CTS STD,LC FRAC DT,LOWE CTS,LOWE DT,LOWE AVG DT,LOWE DT STD,MEDE CTS,MEDE DT,MEDE AVG DT,MEDE DT STD,HIGHE CTS,HIGHE DT,HIGHE AVG DT,HIGHE DT STD
0,387407.0,8.8408607609,2.2820601488615332e-05,3.2578454298390568e-06,349734.0,8.688913621499998,3.246327060892593e-06,8.059618078399994,3.1130769871360466e-06,0.0029704548927665508,249947.0,5.751821938099999,2.301216633166231e-05,3.1491641772273884e-06,99783.0,2.3077055910999986,2.3127242026196834e-05,3.019286449655538e-06,4.0,9.054919999999999e-05,2.2637299999999998e-05,0.0
1,450062.0,10.271375318399993,2.282213410241254e-05,3.2975122471328023e-06,409987.0,10.134349880899997,3.2765526256775985e-06,9.458906806299993,3.100612744789707e-06,0.0034646021931025494,294493.0,6.787342589299997,2.3047551518372243e-05,3.1213133376108785e-06,115491.0,2.671495684899999,2.3131635234780192e-05,3.0463984344151823e-06,3.0,6.85321e-05,2.284403333333333e-05,2.9236508379459845e-07
2,439056.0,9.930479287399997,2.261779656216974e-05,3.598111289385981e-06,387679.0,9.779986206899995,3.5570388271910164e-06,8.95001720129999,3.2123097423330234e-06,0.003343456862960538,277906.0,6.408440392199997,2.305974103545802e-05,3.2317885251810515e-06,109770.0,2.541508897199999,2.315303723421699e-05,3.1615158150713003e-06,3.0,6.791189999999999e-05,2.2637299999999998e-05,0.0
3,428085.0,9.786364343699995,2.2860797140053952e-05,3.4227282196725216e-06,391584.0,9.668566656699996,3.4110538292741337e-06,9.033966542999998,3.2898712373455558e-06,0.0033053661691800768,281030.0,6.474721786399997,2.3039254835426813e-05,3.347192638586606e-06,110552.0,2.559199481999999,2.3149282527679272e-05,3.138094995894934e-06,2.0,4.5274599999999995e-05,2.2637299999999998e-05,0.0
4,436305.0,9.857249482499999,2.25925659401107e-05,3.7882956073859722e-06,388102.0,9.711871191399995,3.760017347761866e-06,8.921722126799997,3.5267326605718433e-06,0.003320170570809792,278836.0,6.387686639599997,2.2908400061684994e-05,3.576495179441707e-06,109257.0,2.5338038424999993,2.3191226580447928e-05,3.38708280030411e-06,9.0,0.00023164469999999997,2.5738299999999997e-05,8.770952513837936e-06
5,430220.0,9.735978985599997,2.263023333550276e-05,3.8038096329759074e-06,378066.0,9.582481346199996,3.770629064311495e-06,8.734731826799996,3.448837279589226e-06,0.0032759364219286696,272041.0,6.278334526099997,2.307863346370583e-05,3.5000904162050655e-06,106024.0,2.456374663399999,2.3168100273522967e-05,3.3128526670892256e-06,1.0,2.2637299999999998e-05,2.2637299999999998e-05,0.0
6,411985.0,9.4024400771,2.282228740633761e-05,3.7338057254032436e-06,372828.0,9.262334726399997,3.7236868884158223e-06,8.605003352399997,3.5946565239353743e-06,0.003166488781566075,265982.0,6.127548090999999,2.3037454004406308e-05,3.666637170161093e-06,106845.0,2.4774326240999995,2.318716480977116e-05,3.4065427137812504e-06,2.0,4.5274599999999995e-05,2.2637299999999998e-05,0.0
7,442778.0,10.132825119199998,2.288466256047048e-05,3.7298760688694963e-06,402983.0,9.997785562099995,3.7179317534166147e-06,9.328315633699997,3.564205997679575e-06,0.0034179153267544908,290710.0,6.721611002399999,2.3121361502528288e-05,3.574302910739645e-06,112267.0,2.6065688074999986,2.3217586712925424e-05,3.5370764750067706e-06,6.0,0.00013582379999999998,2.2637299999999998e-05,0.0
10,441388.0,9.982008604399997,2.261504301068447e-05,3.2208100021256648e-06,393593.0,9.791055536499996,3.1941436203846375e-06,9.033251142299996,2.923908162822593e-06,0.0033472411040869096,283816.0,6.501165873999995,2.2906269815655198e-05,2.9642959282568913e-06,109775.0,2.5320399936999998,2.306572528991118e-05,2.813576495128975e-06,2.0,4.5274599999999995e-05,2.2637299999999998e-05,0.0
11,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
12,460061.0,10.397510043899995,2.260028570972109e-05,3.335062261748457e-06,407943.0,10.220202926499999,3.2956949331821767e-06,9.3906345701,2.9454938828379236e-06,0.00349395253659433,293594.0,6.751760784999998,2.299693040389108e-05,2.967176130921693e-06,114346.0,2.638805873199999,2.3077378073566184e-05,2.8883100351019286e-06,3.0,6.791189999999999e-05,2.2637299999999998e-05,0.0
13,435645.0,9.929229894499999,2.2792020784124687e-05,3.2328947776267527e-06,392144.0,9.783115736099996,3.213843492306092e-06,9.033018257199997,3.0498166178066926e-06,0.003344526746461416,280613.0,6.456823124499997,2.3009707763004555e-05,3.074586147913461e-06,111527.0,2.576104583499999,2.309848362728307e-05,2.9856960574245054e-06,4.0,9.054919999999999e-05,2.2637299999999998e-05,0.0
